id,text,review
6348,"I'm new to the Phoenix area and was in the mood to have someone else make my breakfast for a change and came across all these rave reviews of Matts on Yelp. Normally I find the reviews on Yelp to be pretty much accurate and very honest. This is my first case of the opposite. extra star for using local ingredients, this place is below Waffle House and others on my list, the hash browns were more like a hash brown omelet that needed a few more minuets. I mashed raw potatoes in the middle, they easily take over a little too serious. the bread was good, nice thick slices of what appeared to be locally baked loaves, the jam that came with the toast was good too, but it was snatched away before I could finish. Overall this place is good for sheep who need to eat downtown but lacks anything for a reason to come back or recommend to anyone if you are in the area and considering eating here try somewhere else. options in the area give a chance to someone else who isn't counting on you to eat there because they were about to",Bad
8470,inexpensive for early bird special for combo plates which include spring roll soup rice and your selection if the food only had more seasoning or flavor it was very bland and flavorless I don't usually use soy sauce but I had to use it to add something to my dish with a pond of ki inside with a bridge over it,Good
7056,"this place was horrible i will never go back it was overpriced and the best thing i ate was the cornbread you get before the meal i had the filet mignon stuffed with chorizo ​​it was like chewing a piece of rubber stuffed with soy my girlfriend had flavorless tacos with stale corn tortillas three words it sucked, sucked, sucked",Very bad
4719,"we wanted to take you for your last few dinners we were thinking about which place had specials on a Tuesday and I remembered that the copies had a special and a food challenge and that's how I ended up on copies on a Tuesday that they were featured on. I think it's man versus food but I'm not sure I'm into their food challenge on Tuesdays, they have an ace special of Jewish fries with the purchase of a drink to keep in mind a plate of Jewish fries, I've been told the specials here are sliders, the sliders themselves are a decent size, I say maybe it's the same size as the small mod burgers but the larger Jewish sliders have cakes in them potatoes. Western sliders don't make breakfast. Sliders are something completely different. friendly ink, I think most Arizonans in general are friendlier than the Californians I meet daily hahahhaa and our waitress did her best to split the checks for our group, that was pretty cool of her, I'm glad I went here for the experience but I won't be back, lesson learned, don't trust a bunch of inflexible boys hungry after the gym to choose a place for dinner",Bad
3901,"so going at Christmas was always a risk, there was a wait and the parties in front of my group left there, we people were waiting for their order for more than minutes but when we asked how long it would be before we sat down and got our food we were told a few minutes, he was true to his word that the food was good, the spring rolls were awesome, we didn't really have a waiter to look after us but it was ok, the bus gave us more of water when we asked, I would probably go again if I was in the area but I would just as soon have the panda",Good
6282,"a no frills hole in the wall burgers the burger is made to order delicious and the perfect mix of juicy and slightly fatty so you know you are eating the real deal the fixing bar is an interesting concept that I like because I can stack as many treats as I like the bar gets a little messy at times but hey whatever, the burgers aren't the cheapest but then again if you want cheap you go to a dollar menu no it's worth it and fight some of the students across the street at Phoenix College for a bite at the burger factory",Good
3624,"this place is hit or miss for me, I always ordered the feta gyro and either fries or a small greek salad, why is the soda machine always broken, I wonder what is broken and not fixed in the kitchen. I ate here for the th or th time on Thursday. with salad",Good
3907,"when the Tempe Market was being put together, wow, a classy place where college kids and casual adults could get together and have fun. The Cadillac Ranch was under construction and the hype was hot enough to make you buy a meal in advance, read the reviews but I thought they were trying it and now I see why it has two stars. to myself at least the food should be good, the sliders meal may have been scarce on meat but the slider patties were the size of silver dollars, tasty but small, yes the service was slow, my glass was refilled faster by the gentlemen than the waiter himself. The happy hour deal seems sort of appropriate, I recommend it if you're stuck hanging out in the Tempe market and you only have a few bucks and you're feeling like it's almost full and now I think the Tempe market has taken Mill Aves Lovely, they need to step up their efforts to compensate by killing a once ornate chill out spot because and shopping in Tempe is a goodie, the deaf might replace cr with maybe the banana that knows goodbye for now",Bad
524,"My colleague and I met for lunch this afternoon, the restaurant was understandably busy and there was a delay in the delivery of our food when my pear and potato omelette arrived, this caused mixed reactions. The omelette itself was served hot and loaded with bacon and cheese. The potatoes served on the side were still frozen in the middle. but throw some fresh potatoes on the plate the waiter said if the kitchen had to make the omelette again there might be a long delay, I could only respond with a shrug, he left and went to the kitchen with my plate several other people touched and forked the plate and potatoes before replacing them, he then took the plate back to me at the bar and not to my table end result good omelette potatoes mediocre subpar service and poor follow-up",Bad
3860,"Ronald's Italian Deli is a really good lunch spot if you're in this area and looking for something a little lighter than a burger and fries. They are conveniently located near the corner of Deer Valley and next to Dunking Donuts. They are open for breakfast, lunch and early dinner. I recommend going there during breakfast or lunch if you are interested in the daily specials that are on their hot plates. cut salads loaded with just about anything you can imagine, they also have a small selection of homemade pasta salads, I also had their rye pastrami with their spiced opener and horseradish vinaigrette, the pastrami was very good but had to be heated in the microwave. deli in Phoenix but much better than any deli chain, it's a good alternative to burgers and fries",Good
8467,my name is christi and i'm addicted to bread with my pasta my lovers fancy pizza crust yes hash browns with my french toast i tried to quit but i can't and i also resigned myself to the theory of life so what does hay bring to starch i almost had a salad at bar louis because it was a pretty late dinner and i wanted to save room in my belly for the dirty martinis but they have a appetizer that I couldn't live without trying a hot pretzel sticks huge hot soft pretzels covered in salt served with simple cheese sauces and honey mustard dip but during my care I opted out that evening it was the tastiest thing I have ever eaten I can vouch for the pretzels but other than that the service blew pieces in minutes to get photos impatient when we were the only table in our waiters section when people impatiently order it means they are on a mission so give it to them quickly we canceled our drinks and left to drink wine in our hotel room we knew we would get drinks quicker there if you I'll go get the pretzels not for the impatient,Bad
4790,"horrible, I had a gel manicure, the teacher didn't let my old gel soak long enough so she scraped and filed so hard to remove it that it left my natural nail extremely thin and fragile. The new polish that was applied was thick in some areas and thinner in others. I didn't realize it until I got home. I grabbed my purse and almost broke my naturally long nails because they were so fragile. What happened was that the gentleman who answered the phone told me that I was wrong and that they would not refund my money. I'll never come back and I'm sure I'm sorry I did in the first place.",Very bad
3078,"this place has no idea how much men's items are priced and I wouldn't recommend them at all. I consigned a leather briefcase worth close to it and they priced it for giving me a huge take home price. I understand the need to move merchandise quickly and naturally this sold out in a matter of days, but I can't understand why they wouldn't try to get more money for the item. I can only assume they didn't do their research before setting the price, consignor beware.",Very bad
4765,"I'm moving to Phoenix in the winter and thought I'd check out some fish while I was visiting, which led me to reef farming in the first place. I was positive seeing some nice displays and use of LEDs, but that quickly changed upon closer inspection. Many tanks were infested with aphasia and bubble algae and coral prices were extremely inflated compared to other prices in the area. to get their attention, I was belittled and treated like a child who knew nothing about the hobby. I have had marine tanks for over a decade, ranging from large gallon to small, after that gross and humiliating experience I continued to go through the last few tanks and came across an anglerfish. slammed the phone, snapped his fingers at me and told me to stop harassing the fish, keep in mind I wasn't tapping the glass or pushing anything as I'm quite short and could barely reach the high tank where the anglerfish were much less within reach of harassing any fish after this rude treatment I quickly left this kind of unprofessional treatment of guests is shocking and unacceptable, let alone the tanks infested with bubble algae, a spore of this on the water you put your coral in and your tank is also infected, I will not do business here when I move",Very bad
3439,"I think the lady behind the counter didn't like me, maybe it was me, I don't know, that's exactly how I felt when my boss first told me about this place, I thought he said al Molina and I was like you mean the guy who played doc rock in Epidermal. I've been here several times today, this was my first time in El Moline in about months. My office, one thing I really didn't like was that you had to ask for the key to use the bathroom, it's something very typical, like a gas station where the bums use to shit on the floor. I went to the bathroom and he told me I had to ask for the key. em but don't you have something chips that I can buy for a dollar that comes with a much more reasonable serving size I have all these chips in the fridge at work that won't be edible on Monday probably the burrito I got was very tasty the salsa they gave me was also super good nice and smoky and spicy seriously man that shit was spicy I kind of have a sore throat today so that spiciness felt really good I had to laugh when I opened it my togo back once I got back to work because I actually thought maybe I hadn't had salsa but when I took a look they gave me so much I did a little spin next to my meal like a stonehenge of three star heat good not great bathroom weird unfriendly lady good food overpriced",Good
6727,"Came here the other night at a party, overall the experience was satisfactory, the waitresses were nice yes, some had serious cleavage and they were mostly on top of the situation, they ordered the kids' plates first and got drinks. the hot sauce overall it exceeded my expectations which weren't too high given what i read here the plus was the entertainment value with people trying to ride the mechanical bull only one person in our group did it after pictures of jack daniels overall it's a great place to go if you're looking for a casual place with decent food and side entertainment",Good
2889,"star for service and attitude the food was delicious but the staff was very hateful I'm writing this review I don't remember the name of the waitress but I remember she was short hispanic and was pregnant at the time she was incredibly hateful, hateful and rude to me and my parents. I dress differently, more manly, different waitresses, same good food, same hateful attitudes. I will urge everyone reading this to save your time and money and go to another pizza place or pizza place to get better service.",Very bad
9342,"I bought a deal from Living Social and waited a while to call them, thinking they were swamped with business now I can't get them to call me back so I can use my deal note. There were no reviews for this company on Yelp prior to the Living Social offer. Of course Living Social doesn't help, their website says I need to call a consumer advocate in my area, that sort of thing, I predict this will be the demise of every dealoftheday site, the company selling the deal is at no risk of having to pay refunds if the company supplies the goods. or the services are not working, I have since canceled my subscriptions to all dealoftheday emails, lesson learned on two unethical companies",Very bad
5441,"I was a little disappointed after reading the reviews here. I had the fajitas, my wife had the tacos, I didn't think the green inferno chiles were that hot, the taco meat wasn't spicy and bland, the best part of the meal was the bean dip and chips, even the salsa wasn't anything great, at least the beer was cold in a pitcher, it better be",Bad
6506,"I went there tonight before the game, the best thing about the whole bar was their shirts, I really wanted the shirt that said you looked like you could have a drink anyway, I had the nachos, bad choice, drenched in cheese sauce and melted cheese, beans, cheese, peppers, cheese, tomatoes and oh, headcheese, it was a soggy mess and it was huge. I have to give it minus another star for the horrible music they play seriously. If I'm going to see a game I don't think house and dance music is the way to go, but also to each their own, but I had to shorten the time during the game because I started getting soggy nachos maybe.",Good
795,"first of all the hours this place keeps the most absurd hours for a restaurant serving students and faculty, I can't tell you how many times I've gone to get a sandwich and the bags have been closed, they open in the morning and close around or in the afternoon. I can't say definitively what the times are because they don't list them on the bags website, apparently they are trying to keep that a secret. I understand that a sandwich shop in downtown Phoenix is ​​keeping these hours, but here is an update for bag owners as students and faculty are not keeping bank hours. food quality is poor but sandwiches are reasonably priced",Bad
5005,"well I wouldn't have the dragon lady roll again but the humans were good and the rainbow roll was good, too many cream cheese and mayonnaise rolls on this menu, not even busy on a Sunday night with the bus game in town, nice atmosphere",Bad
7886,"a nice place to watch a game, it's open enough that you can keep an eye on the game while you consider your many dining alternatives. They also let in natural sunlight and keep the place cool at the same time. Anyway, I don't have a good reason to give this place one star or five stars, so three stars.",Good
8214,"I had seen them before, but never stopped with a drink menu and was quite happy with a good selection of margaritas and such. The dinner menu was good too, the drinks were excellent and the food was tasty. I will make a return trip if for nothing more than a drink, ask.",Good
6462,"pretty decent place right in the heart of the action, saw some separate arrests while drinking beer on the patio, they have a few different peaks, those facts alone made it a successful venture did I mention it was midday on a Friday",Good
287,"First, I hope the management of La Fonda reads these reviews and takes action to improve their restaurant. Second, we also miss the Bloody Mary Bar, my husband I visited a few weeks ago on a Saturday night for dinner, we asked the waitress a general question about a beer and she made up something that was ridiculously wrong, okay she doesn't know beer, we liked the chip salsa, that was a good start, then I took a sip of my water, I know what tap water tastes like at tempe, but it was weird the aftertaste. made me cringe I couldn't drink it even with a slice of lemon in it maybe it was the ice cream my husband ordered chicken enchiladas which he orders almost everywhere and it was so bad he didn't finish it my meal wasn't memorable either I wanted to like this place or at least that way we left there terribly disappointed I doubt we will return",Very bad
7105,"for a small sandwich with an egg, two greasy strips of bacon and a stale muffin, they say it's expensive because they buy it locally, it must have substance to be considered something so gross",Very bad
7304,"Honestly I love cupcakes like I said in my nasty bakery review eating a cupcake unlike a slice of cake gives a feeling of accomplishment I love cupcakes I love the feeling of accomplishment you get from eating a cupcake you may have had a hard day but you finished a whole cupcake which is validation it makes me happy. light chocolate cake style with cream cheese frosting, I disagree, I don't detect any cream cheese flavor in this frosting, the first time I devoured a chip cupcake it was magical, I was particularly impressed by the dark and white Belgian dark chocolate with creamy vanilla frosting. my car, a baba subaru and the cupcakes seemed quite big again, I have to think consuming a sprinkled cupcake in the sun wouldn't be a good idea, the cupcake to eating space ratio would be quite bad for real cupcake validation, I'll drive the miles to the bad guy, ok you caught me, I might pass as an emergency fix if I'm around but I'll think of the bad guy's slave and consume my confection in a small space",Good
5889,"I liked the concept, the staff was very good, the food tasted like it was reheated in the microwave and cold on the top and hot on the bottom after watching our movie. We wanted to buy tickets a week in advance for another movie. We went to customer service and asked if they knew if the shade would be played on the bride and groom. and hard to order tickets, I looked for tickets for tomorrow and it says show time is not available, looks like they don't want anyone to come see movies after spending on food and movie, I think I'll try another place",Bad
2230,they have great promotions and if you like mexican diving grab some outfits there are much better places that aren't a chain,Bad
2487,"I'm a book addict, I'm sure libraries are my Mecca, but I'm hard to get a spy card, it was a breeze. I only needed one proof of residency, even though I brought all three recommendations, including a Netflix envelope, once I had my card I was ready to explore. I first headed to the public computers that help you locate books. Yes, with pieces of paper and mini-pencils at hand. I found my book morphing into another section, from fiction to large print, I decided to turn this hunt into a tour, so I wandered the aisles, studied the section names, and finally got acquainted with the library system. Don't get me wrong, it's not rocket science, nor is it pop rocks having found my books and some dads that I checked out very easily too. ready to find at least one of the books on my no list, so I put a few on hold for myself and wandered around very disappointed. That's when I started not liking this library, any of my books, really, this library is not user friendly like others, I saw even the library in Stillwater Oklahoma was more comfortable than this one. a man who volunteered there showed me how to use the self checkout system, he was a friendly man who assumed I knew nothing about self checkout machines and probably doubted my ability to read as he explained to me step by step what I needed to do to check out my books at least the lesson was in depth enough for me to fully understand it and more so the next time I went to snoop to retrieve the books I had put on hold I used self checkout I was in and out in minutes so let's recap the book slip slip doesn't always have the books you want sad face you can renew online create a profile and share reviews you can place books on hold from any computer if you are logged into your account the people who work there are friendly it's easy to get a card just bring your sip bill like I did it's not an easy place to navigate the spy doesn't make you want to spend hours there there are private rooms but you don't know how you book them there are monthly activities at the library but mostly about holdfast diets and how to use microsoft word there is free parking in the shade you can check your items yourself with their self checkout it's quite ugly inside the lifeless dull brown seat",Good
8405,"if your products weren't my number two love I would abandon you, I'm only saying this about this place, an associate was so arrogant I wanted to punch her and I'm not a violent individual, the fashion square gets my loyalty",Bad
3692,"do not do business with this unethical company, my savings account was recently robbed for a month for account inactivity fees, they are a bunch of scammers, it seems you now have to nickel and dime your customers with their fees in order to stay in the closed business account.",Very bad
4219,"a little disappointed, we were waiting for the right time to visit this place and today happened to be that day, first of all the location is in the middle of what appears to be a ghost town. The interior had lots of character with items like the family John Deer tractor. Anyway, we had the full slab with sides, a bottle of ginger beer and a drink. Honestly, I expected more from this place. same price, sit back and relax while they serve you and the food is better, a little out, priced for a cafeteria style, I think it's a bit too much food, not the least important to us, very classic decor and full of character. I just received a very nice message from the owner, Joe, I think it's wonderful that Joe cares about each customer's comments and reviews, even though my review wasn't very positive. happy",Good
5780,"I had dinner at Rama Thai a couple of days ago, it wasn't a horrible dining experience but I'm not sure I'll go back my friend and I ordered the spring rolls sorry I don't remember the name Thai and they were two pieces small but the price was then what I expected and an average filling that I would expect from frozen spring rolls we are both vegetarian and were happy to see a vegetarian section on the menu but were slightly disappointed with the options three of the items included oyster sauce and the other three were either vegetarian fried rice or rescreen vegetable curry. I ordered the green curry vegetables medium hot and my friend ordered the red curry vegetables mild and she stressed mild. We waited a few minutes for our dinner to arrive. I didn't mind my dish, it was way spicier than average, but I didn't mind a little heat. The sauce was very runny and the vegetables were soggy and looked like they had been sitting in the sauce for quite a while. it was worth it the service was slow but the waitresses were very friendly overall I probably wouldn't recommend this restaurant to a friend",Bad
9183,"the food is simple, plain and simple, you taste and hopefully enjoy every ingredient, but as with most minimally processed cooked foods they don't travel well so eat in, luckily the decor is modern and complements the menu well making eating in a pleasure. My only negative note is on the service. If you are not careful when entering the restaurant, you can enter through the invisibility door and will become invisible to the employees. your invisible fades based on my late lunch experience today the dust takes a few minutes to remove email replies or texts from the iPhone unfortunately I only had three unanswered emails in my mail and had to leave before I could be seen by the employees on a positive note when you leave no matter how long you waited the invisibility dust seems to be removed I know this because no one honked or yelled at you my car while it was leaving without a driver",Very bad
6468,"yuck the service and food was lousy, never a win",Very bad
1236,"I don't understand the concept of a good vegetarian restaurant, but the need to create a mockery and make fun of the fact that the word mockery appears in the menu no less than many times and it made me want to run away, tell, tell mach, I don't care, I understand this from a marketing strategy aimed at attracting and/or converting carnivores and omnivores. I guess meat eaters feel better about eating something vegetarian as long as it's shaped like a chicken wing. medallions, I am also aware that we eat with our eyes have preconceived notions about certain types of cuisine and yet I strongly believe that if an establishment uses vegetables, legumes, tofu and the like and gets creative instead of trying to reinvent the wheel of meat, the end result would be much better, for example the mexicali hamburger, no reference to meat here, how about listing something like whatever it is served at the parmesan way, I stopped here for lunch yesterday as I was in the cool space corner, it was open colorful and inviting a few lines of organs a small space in the front, nice mild funk flavor in the decor, the order is done counter style and they present it to you, you instead go behind the counter to get ice for your drink which I thought was a little weird. stunned me, I think it may have been crispy long before it was served to me and microwaved, the texture was just large amounts of rooster sauce, uh, Sirach saved it from Blandsville, I'm not saying I'd never come back as I tend to give places more than one chance. I like well-prepared vegetarian dishes, but don't make fun of me.",Bad
1154,"I had never been to Rainforest Café and I'm glad I got to try it because I like to try things at least once, but this will also be the last time I go there. We will start from the beginning. The atmosphere was nice for the jungle but it was so loud I couldn't hear my wife talking to me. It was too much chocolate syrup and it was expensive, we sent it back so she could have water, later food delivery was quick and my burger was pretty good but it was simple and so expensive for something so simple I got onion rings for a few dollars more they were okay but worth the extra few dollars, my wife got an extra plate of fries and they were a few dollars but they didn't give her more than ten. I'm sick that night, not as amazing as I thought after seeing it several times in Vegas",Very bad
1767,"maybe it's because I've never met a bowl of someone I didn't like, but I could gulp down this stuff all day, the kitchen does a decent job with them, the broth is so delicious and soothing, I've never had that in all the Vietnamese restaurants I've been to and here's what I didn't like about the kitchens with a view, the chicken is a bit dry and tasteless, the broth has a ton of flavor so when you take a bite of chicken with the broth is good, but eating it alone is way too much. all they have to do is season it a little before cooking it. The spring rolls were also very fresh and excellent dipped in the sauce without the sauce, they would have been a little dry too overall, this is my place for that as it is so close to home.",Good
9130,"the kids and I love Starbucks but this one leaves a lot to be desired, we have been here a long time and every time I wonder why I go back to this one, the service there is almost rude, they seem bored of being busy, they never seem happy to serve you, the drinks take forever to make even though they are not as busy as the others, we won't even get into the fact that my order was ruined the last few times, the main problem that I have is the fact that out of time when to sit and relax with a snack, someone really needs to sweep the floor near me while I sit there, there are much better Starbucks and I think I will try others locally, kids and I went today for our snack, I wanted to say things were better today, I won't change my rating until my next visit",Bad
9933,it's a salad bar,Good
3067,"the food is okay and pretty cheap, the only complaints I have about it is that the place is pretty small and can get crowded, they don't serve alcohol but there is a liquor store next door so I can eat and then have a beer, but sometimes it's nice to have a margarita with your burro and not always but sometimes a particular lady who works there can be a little rude and can mess up your order even though I enjoy their food and that it is within walking distance of my residence",Good
1399,"Breadfruit is a nice place, the interior of the place is well decorated and they only seat people creating an intimate and pleasant ambiance. I really appreciate that they serve locally grown organic produce and that their chicken is all natural and cage-free. Any downtown Jamaican restaurant addition deserves at least three stars in my book. I liked that the wonton was baked and not fried, the presentation was nice, the mango chutney was fresh but the buns themselves lacked flavor. I really wish they would have combined other fruits or spices to add more contrast to the dish for my main course. the chef owner came over and asked us how we enjoyed our meal and explained his philosophy behind the food. The service was excellent but compared to other Jamaican places I've been this really only deserves stars sorry.",Good
8182,"not a good experience last night at Eastward I'll start off by saying I've been eating here for over years when it was Tokyo Express and now eastward I was a weekly customer when I lived closer now it's every day or so we went to dinner and it took way too long to get seated in the half empty restaurant we were seated next to a family that must have been friends or family with a server as she was constantly at their table she was there while we waited and obviously saw us before finally showing us a table. The waiter was a guy who must have been new because he seemed very nervous and didn't know the menu, so we ordered the sushi sample for me and the Korean beef and vegetable roll for her. I got the sushi but not the salad and soup which came with the vegetable roll turned into an egg roll, it all arrived at once and the waiter didn't come back until we were finished after consulting with the waiter he took away the egg roll and our drink guess that's supposed to make up for it.",Bad
2293,"I stopped here one morning and was told I was a little early. I was used to cafes that open earlier I guess, but they were nice and invited me to sit and wait. I loved their stacks of Latin American fashion clothing and the artwork on the walls was beautiful. They also had ice water to serve you. My favorite thing to do was go down to the Danielle store downtown and get some coffee at the Royal and some of their rosemary shortbread cookies, it doesn't look delicious but trust me they are sure to ask for it the moment I went, the place obviously wasn't crowded and I received attentive service.",Good
7815,"solid, we started the happy hour which includes alcohol and tacos as I had the duck with shrimp and the pork civil cochinita, they were smaller than most of the street style tacos I've had and boy did I eat a lot of them cali at my and even a little soggy, the duck was my least favorite as it had a rubbery taste and texture, the shrimp was in demand but for my money the cochinita was definitely where it's at with its super porky delight we also shared the quest funding rich in chunks of cream cheese what it was really tasty but could probably double the spackle in a pinch, the most successful item of the evening was the churrs with goats cheese caramel between my buddies and myself we made quick work of this dish each of us had our house margarita which was strong just the way I like it but I'm not entirely sure I would order this drink at any unsatisfied prices but one of the big downsides was our waiter was really in a hurry and we struggled to get his attention overall I think I'll be back to try other dishes the chicken la taupe looked really appealing be warned although it's a common expense expect to pay for most starters on a postcard restricted budget it's definitely a splurge we loved the mural hinterland and groovy art inside",Good
6626,"I thought this bagel shop was okay, the bagel sandwich I received was relatively lackluster. I think I'll stick to Einsteins for now.",Good
8360,"stars went to the flamenco show last Sunday a brilliantly talented company of dancers and musicians the center just completed a year-long renovation, all seats may have been completely renovated, railings added and handicapped accessible seating on the orchestra level and upgraded their central air conditioning system the Chandler Symphony offers free concerts on a monthly basis the center's programming schedule can be found here",Good
6591,mi patio is a star restaurant some days the food tastes better than others and some days the entertainment value is better than others but it's not a chain it's within walking distance and has very affordable margaritas there are no bike racks and the iquitos are basically a carne asama taco with no toppings which I like,Good
2184,"Jerry ugh I try to love you since we live so close to each other but ugh I've had many irritating experiences at Jerry's in a nutshell I'm using red prismacolor pencils I'm running out and I'm going to Jerry's they don't have them I don't know if they carry them and and no one can tell me when or if they might reappear why the seemingly standard answer is because the order is from a company in North Carolina or somewhere far, far away where it there is no phone or email access, I will buy Sculley gives the same answer as to when he might return. I need Pitt brush tip markers in Castle fiber, same story with airbrush equipment, come back Tuesday or Thursday or call us and we will check if it is there. I can walk to Jerry's without thinking, but I'd rather go to an art center or somewhere else than have to call in overtime. the clerks I have dealt with are some of my rants from the handful I have dealt with mostly in the morning and day, it seems like they don't really know the store that well or don't care to give any insight into their products or business, they have a large store and I understand there is a lot of inventory to know and locate but that's your job, it seems like no one I have dealt with there really knows their stuff. I talked to a girl there who was really chatting to me. her recent art party where she painted this huge room and blah blah blah but when I asked her if she knew when they might have more brush tip markers she was mom no idea Jerry just clean it up and ask your people to act towards you and your customers with the same passion they have with their own art do it and I will try to love you again",Bad
